,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,346.754,345.194,341.434,340.334,341.154,342.954,335.534,331.034,228.494,74.974,0,0,0,0,0,0,0,0,0,0
1,360.2,349.9,360.5,351.2,353.2,346.2,338.3,335.1,342.1,38.5,0,0,0,0,0,0,0,0,0,0
2,689.6,679.5,704.9,681.1,671.8,656.1,663,660.4,662,606.1,0,0,0,0,0,0,0,0,0,0
3,682.4,692.9,685.5,687.6,678.7,684.4,698.2,683.1,697.6,435,0,0,0,0,0,0,0,0,0,0
4,270.9,277.3,264.6,277.6,264.6,256.6,236.3,260.6,82.8,9.5,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,74.4672,246.694,324.554,328.934,339.994,336.634,339.814,333.774,334.314,331.414
6,0,0,0,0,0,0,0,0,0,0,76.5,227.4,254.1,266.8,279.3,256.8,255.1,253.8,260.4,282
7,0,0,0,0,0,0,0,0,0,0,442.1,665.3,667.3,670,675,675.2,673.9,689.4,698.2,689.4
8,0,0,0,0,0,0,0,0,0,0,200.5,428.5,630.4,691.2,667.9,675.6,692.5,690.6,679.6,677
9,0,0,0,0,0,0,0,0,0,0,41.1,294.5,352,376.3,348.3,353.7,360.2,368.8,359.4,351
10,88.9602,89.0602,89.1202,89.2002,89.0402,89.1202,89.1202,89.1002,89.0802,20.0402,0,0,0,0,0,0,0,0,0,0
11,87.9,88,87.8,87.7,87.6,87.8,87.8,87.9,62.3,14.1,0,0,0,0,0,0,0,0,0,0
12,88.2,88.3,88.4,88.1,88.2,88,88.2,88,37.9,8.7,0,0,0,0,0,0,0,0,0,0
13,88,88.2,88.4,88.6,88.2,88.5,88.4,88.4,88.3,19.7,0,0,0,0,0,0,0,0,0,0
14,88.8,88.8,88.9,88.9,88.8,88.7,88.6,88.7,88.5,27.9,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,13.2402,49.2602,117.7202,104.9802,92.1402,89.8402,89.2002,89.0402,89.1002,88.9602
16,0,0,0,0,0,0,0,0,0,0,120.9,103.5,91.8,89.3,88.9,88.7,88.7,88.7,88.7,89
17,0,0,0,0,0,0,0,0,0,0,10.9,105.2,112.5,92,89.6,89.1,89.1,88.9,88.8,88.7
18,0,0,0,0,0,0,0,0,0,0,6.8,7.4,106.4,128.5,94.2,90.3,89.5,89.3,89.1,89.1
19,0,0,0,0,0,0,0,0,0,0,8.9,109.3,126.1,94,90,89.8,89.5,89.4,89.1,89.4
20,1367.3448,1367.2648,1367.2048,1366.8448,1366.5248,1366.7048,1366.7448,835.9648,168.1648,26.6048,0,0,0,0,0,0,0,0,0,0
21,1372.6,1371.7,1371.2,1371.9,1371.4,1371.7,1370.9,1254.3,177,39.6,0,0,0,0,0,0,0,0,0,0
22,1369.2,1368.9,1368.8,1368.7,1368.2,1368.1,1368.3,1368.7,321.7,43.4,0,0,0,0,0,0,0,0,0,0
23,1372.9,1372.9,1372.6,1373,1371.6,1372.3,1372.1,791.6,107.2,24.2,0,0,0,0,0,0,0,0,0,0
24,1372.6,1372.7,1372.9,1373.6,1372.6,1372.4,1371.8,906.4,122.7,27.4,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,936.6848,1313.8648,1386.0248,1393.8248,1393.9248,1392.9248,1391.9048,1390.3448,1389.0848,1387.8648
26,0,0,0,0,0,0,0,0,0,0,171.8,1231.7,1362.1,1390.4,1395.3,1395,1393,1391.5,1390.3,1388.9
27,0,0,0,0,0,0,0,0,0,0,735.3,1310,1386.6,1394.2,1395.6,1395.1,1393.1,1392,1389.5,1388.3
28,0,0,0,0,0,0,0,0,0,0,519.5,1204.4,1355.9,1391.3,1396,1395.1,1393,1391.1,1389.2,1387.9
29,0,0,0,0,0,0,0,0,0,0,1023.7,1316.3,1387.5,1395.4,1395.3,1394.5,1394.6,1392.2,1390.4,1389.4
